key,group,title,description,active,has_outrights
americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
americanfootball_nfl,American Football,NFL,US Football,True,False
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2022/2023,True,True
aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
baseball_mlb,Baseball,MLB,Major League Baseball,True,False
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2022,True,True
basketball_nba,Basketball,NBA,US Basketball,True,False
basketball_wnba,Basketball,WNBA,US Basketball,True,False
cricket_test_match,Cricket,Test Matches,International Test Matches,True,False
golf_the_open_championship_winner,Golf,The Open Winner,2022 Winner,True,True
golf_us_open_winner,Golf,US Open Winner,2022 Winner,True,True
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2021/2022,True,True
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,True,False
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,True,False
soccer_china_superleague,Soccer,Super League - China,,True,False
soccer_fifa_world_cup,Soccer,FIFA World Cup,FIFA World Cup 2022,True,False
soccer_fifa_world_cup_winner,Soccer,FIFA World Cup Winner,FIFA World Cup Winner 2022,True,True
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,True,False
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,True,False
soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
tennis_atp_french_open,Tennis,ATP French Open,Men's Singles,True,False
tennis_wta_french_open,Tennis,WTA French Open,Women's Singles,True,False
